process	person	campaign	protocol	date_start	date_end	input_objects	output_objects	
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: FW511-7-26-12	Sample: FW511-7-26-12 0.2 micron filter, Community: FW511-7-26-12 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: DP16D-67-11-27-12	Sample: DP16D-67-11-27-12 0.2 micron filter, Community: DP16D-67-11-27-12 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: GW056-87-1-8-13	Sample: GW056-87-1-8-13 10 micron filter, Community: GW056-87-1-8-13 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: DP16D-67-11-27-12	Sample: DP16D-67-11-27-12 10 micron filter, Community: DP16D-67-11-27-12 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: GW057-10-1-8-13	Sample: GW057-10-1-8-13 0.2 micron filter, Community: GW057-10-1-8-13 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: FW021-46-11-27-12	Sample: FW021-46-11-27-12 0.2 micron filter, Community: FW021-46-11-27-12 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: GW057-10-1-8-13	Sample: GW057-10-1-8-13 10 micron filter, Community: GW057-10-1-8-13 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: FW021-46-11-27-12	Sample: FW021-46-11-27-12 10 micron filter, Community: FW021-46-11-27-12 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: GW066-71-2-20-13	Sample: GW066-71-2-20-13 0.2 micron filter, Community: GW066-71-2-20-13 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: FW021-7-26-12	Sample: FW021-7-26-12 0.2 micron filter, Community: FW021-7-26-12 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: GW125-85-2-20-13	Sample: GW125-85-2-20-13 10 micron filter, Community: GW125-85-2-20-13 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: FW021-7-26-12	Sample: FW021-7-26-12 10 micron filter, Community: FW021-7-26-12 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: GW066-71-2-20-13	Sample: GW066-71-2-20-13 10 micron filter, Community: GW066-71-2-20-13 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: FW104-67-11-14-12	Sample: FW104-67-11-14-12 0.2 micron filter, Community: FW104-67-11-14-12 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: GW084-56-11-28-12	Sample: GW084-56-11-28-12 0.2 micron filter, Community: GW084-56-11-28-12 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: FW104-67-11-14-12	Sample: FW104-67-11-14-12 10 micron filter, Community: FW104-67-11-14-12 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: GW084-56-11-28-12	Sample: GW084-56-11-28-12 10 micron filter, Community: GW084-56-11-28-12 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: FW104-7-26-12	Sample: FW104-7-26-12 0.2 micron filter, Community: FW104-7-26-12 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: GW127-16-11-26-12	Sample: GW127-16-11-26-12 0.2 micron filter, Community: GW127-16-11-26-12 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: FW104-7-26-12	Sample: FW104-7-26-12 10 micron filter, Community: FW104-7-26-12 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: GW085-58-12-3-12	Sample: GW085-58-12-3-12 0.2 micron filter, Community: GW085-58-12-3-12 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: FW106-11-13-12	Sample: FW106-11-13-12 0.2 micron filter, Community: FW106-11-13-12 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: GW085-58-12-3-12	Sample: GW085-58-12-3-12 10 micron filter, Community: GW085-58-12-3-12 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: FW106-11-13-12	Sample: FW106-11-13-12 10 micron filter, Community: FW106-11-13-12 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: GW086-25-12-3-12	Sample: GW086-25-12-3-12 0.2 micron filter, Community: GW086-25-12-3-12 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: FW106-7-25-12	Sample: FW106-7-25-12 0.2 micron filter, Community: FW106-7-25-12 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: GW086-25-12-3-12	Sample: GW086-25-12-3-12 10 micron filter, Community: GW086-25-12-3-12 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: FW109-1-7-25-12	Sample: FW109-1-7-25-12 10 micron filter, Community: FW109-1-7-25-12 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: GW089-62-1-7-13	Sample: GW089-62-1-7-13 0.2 micron filter, Community: GW089-62-1-7-13 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: FW109-2-7-25-12	Sample: FW109-2-7-25-12 0.2 micron filter, Community: FW109-2-7-25-12 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: GW089-62-1-7-13	Sample: GW089-62-1-7-13 10 micron filter, Community: GW089-62-1-7-13 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: FW109-2-7-25-12	Sample: FW109-2-7-25-12 10 micron filter, Community: FW109-2-7-25-12 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: GW098-57-1-22-13	Sample: GW098-57-1-22-13 0.2 micron filter, Community: GW098-57-1-22-13 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: FW109-35-61-11-14-12	Sample: FW109-35-61-11-14-12 0.2 micron filter, Community: FW109-35-61-11-14-12 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: GW098-57-1-22-13	Sample: GW098-57-1-22-13 10 micron filter, Community: GW098-57-1-22-13 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: FW109-35-61-11-14-12	Sample: FW109-35-61-11-14-12 10 micron filter, Community: FW109-35-61-11-14-12 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: GW101-11-13-12	Sample: GW101-11-13-12 0.2 micron filter, Community: GW101-11-13-12 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: FW109-40-92-11-14-12	Sample: FW109-40-92-11-14-12 0.2 micron filter, Community: FW109-40-92-11-14-12 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: GW101-11-13-12	Sample: GW101-11-13-12 0.2 micron filter B, Community: GW101-11-13-12 0.2 micron filter B
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: FW109-40-92-11-14-12	Sample: FW109-40-92-11-14-12 10 micron filter, Community: FW109-40-92-11-14-12 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: GW101-11-13-12	Sample: GW101-11-13-12 10 micron filter, Community: GW101-11-13-12 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: FW126-7-25-12	Sample: FW126-7-25-12 0.2 micron filter, Community: FW126-7-25-12 0.2 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: GW127-16-11-26-12	Sample: GW127-16-11-26-12 10 micron filter, Community: GW127-16-11-26-12 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: FW126-7-25-12	Sample: FW126-7-25-12 10 micron filter, Community: FW126-7-25-12 10 micron filter
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	10 micron filter	null	null	Sample: GW101-11-13-12	Sample: GW101-11-13-12 10 micron filter B, Community: GW101-11-13-12 10 micron filter B
Filter <PROCESS:0000012>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	0.2 micron filter	null	null	Sample: FW215-84-11-27-12	Sample: FW215-84-11-27-12 0.2 micron filter, Community: FW215-84-11-27-12 0.2 micron filter
